,Lat,Lon,Name,Sub_Prop
0,42.16722555541654,-70.90555783370291,BCBS Hingham,0.9323671497584541
1,42.267902,-71.093641,Mattapan T Stop,0.39923224568138194
2,42.27094707029229,-71.07337901405117,Central Ave at River St,0.31666666666666665
3,42.274620671812244,-71.09372552493369,Blue Hill Ave at Almont St,0.3463687150837989
4,42.27600498756665,-71.03924982267927,BCBS Quincy,0.8743961352657005
5,42.277194696397906,-71.06955613950048,Washington St at Walsh Playground,0.6
6,42.2773889,-71.09325,Mattapan Library,0.39285714285714285
7,42.277484442008216,-71.16341467955863,Spring St at Powell St,0.6779661016949152
8,42.278811581565975,-71.11687703062671,American Legion Hwy at Canterbury St,0.13636363636363635
9,42.278811581565975,-71.11687703062671,Cummins at American Legion,0.375
10,42.280725142920296,-71.08617242434775,Morton St T,0.6086956521739131
11,42.280728147169015,-71.13423757273267,Washington St at Denton Terr,0.640625
12,42.281986277339136,-71.07147924620222,Washington St at Fuller St,0.1111111111111111
13,42.28277901074054,-71.15728851416861,Centre St at Parkway YMCA,0.6421052631578947
14,42.28297567840305,-71.05466698296368,Gallivan Blvd at Adams St,0.5492957746478874
15,42.28484472443536,-71.11874517062459,Mt. Hope St at Hyde Park Ave,0.19658119658119658
16,42.2856944,-71.0641389,Ashmont T Stop,0.6873015873015873
17,42.286212948246096,-71.07942931372236,Thetford Ave at Norfolk St,0.2582781456953642
18,42.28630716010807,-71.12820532182013,Roslindale Village - Washington St,0.5919689119170984
19,42.286331991127746,-71.15344755369732,Centre St at W. Roxbury Post Office,0.6185567010309279
20,42.28634589486312,-71.13672129828046,Belgrade Ave at Walworth St,0.5714285714285714
21,42.287072,-71.127754,Roslindale Village - South St,0.6468129571577848
22,42.2873611,-71.071111,Codman Square Library,0.5536028119507909
23,42.290333,-71.071806,Washington St at Talbot Ave,0.512
24,42.29118034790426,-71.117736660035,Northbourne Rd at Hyde Park Ave,0.3787878787878788
25,42.291679428741226,-71.05726346409938,Adams St at Lonsdale St,0.3592233009708738
26,42.29175621632091,-71.0625918023743,Dorchester Ave at King St,0.5901639344262295
27,42.29266592872725,-71.12119538714069,Archdale Rd at Washington St,0.39755351681957185
28,42.292917,-71.06575,Shawmut T Stop,0.6591478696741855
29,42.2944167,-71.0783056,Park St at Norwell St,0.23655913978494625
30,42.29442578670662,-71.07821760713703,Park St at Norwell St,0.375
31,42.2945833,-71.087111,Talbot Ave At Blue Hill Ave,0.45
32,42.29606704649873,-71.11601199963843,Hyde Park Ave at Walk Hill St,0.7089552238805971
33,42.29791807622161,-71.07271846392904,Washington St at Bradlee St,0.3
34,42.299164979365884,-71.07345871645519,Washington St at Bradlee St,0.3904761904761905
35,42.2996667,-71.0605833,Fields Corner T Stop,0.6043737574552683
36,42.300664,-71.060295,Fields Corner T Stop,0.48344370860927155
37,42.300923,-71.114249,Forest Hills,0.6680327868852459
38,42.303469,-71.085347,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,0.3548895899053628
39,42.304127927390155,-71.07929527759552,Four Corners - 157 Washington St,0.5313531353135313
40,42.3060456272408,-71.11570891001975,Jamaica St at South St,0.6511627906976745
41,42.306539,-71.107669,Williams St at Washington St,0.8026782197715636
42,42.30785224238503,-71.06512248516083,Bowdoin St at Quincy St,0.7110132158590309
43,42.30791,-71.080952,Grove Hall Library - 41 Geneva Ave,0.645083932853717
44,42.309054,-71.11543,Curtis Hall - South St at Centre St,0.6939759036144578
45,42.309572,-71.0729,Columbia Rd at Ceylon St,0.6967840735068913
46,42.309796,-71.092225,Franklin Park - Seaver St at Humboldt Ave,0.4789473684210526
47,42.309796,-71.092225,Franklin Park - Seaver St at Humbolt Ave,0.5195729537366548
48,42.310579,-71.107341,Green Street T Stop - Green St at Amory St,0.8105223740872496
49,42.3106,-71.0539,Savin Hill T Stop - S Sydney St at Bay St,0.6911032028469751
50,42.3121203,-71.1142981,Centre St at Seaverns Ave,0.7311725452812202
51,42.31218918475612,-71.03648586203235,University of Massachusetts Boston - Campus Center,0.5461318051575931
52,42.313917,-71.04025,University of Massachusetts Boston - Integrated Sciences Complex,0.5300859598853869
53,42.314507,-71.041269,University of Massachusetts Boston - Integrated Sciences Complex,0.9117647058823529
54,42.315692,-71.098634,Egleston Square - Atherton St at Washington St,0.6518936341659952
55,42.316902,-71.091946,NCAAA - Walnut Ave at Crawford St,0.8008720930232558
56,42.316966,-71.104374,Stony Brook T Stop,0.696247892074199
57,42.31727474327453,-71.06537003967787,Upham's Corner,0.6257309941520468
58,42.31727474327453,-71.06537003967787,Uphams Corner,0.6725888324873096
59,42.317642,-71.056664,Ryan Playground - Dorchester Ave at Harbor View St,0.6577208918249381
60,42.317860205899876,-71.07798628527235,Blue Hill Ave at Southwood St,0.6436781609195402
61,42.31787329345602,-71.08243077993393,Roxbury YMCA - Warren St at MLK Blvd,0.7845786963434023
62,42.318697341722434,-71.0697814822197,Upham's Corner T Stop - Magnolia St at Dudley St,0.7263969171483622
63,42.318697341722434,-71.0697814822197,Uphams Corner T Stop - Magnolia St at Dudley St,0.7788309636650869
64,42.31886468217537,-71.04536797860419,Geiger Gibson Community Health Center,0.6666666666666666
65,42.3193094317828,-71.09639923859504,The Dimock Center,0.8826291079812206
66,42.32033973515723,-71.05118036270142,JFK/UMass T Stop,0.6491862567811935
67,42.32039374304257,-71.05355408051764,Sydney St at Carson St,0.7279596977329975
68,42.320561,-71.06198,E Cottage St at Columbia Rd,0.7566186716209939
69,42.32143814183195,-71.09126061201096,MLK Blvd at Washington St,0.869182389937107
